label||content
Công nghệ || Siêu máy tính mới được đưa vào hoạt động tại Việt Nam với sức mạnh tính toán đứng top 100 thế giới, phục vụ nghiên cứu khoa học và dự báo thời tiết.
Chính trị || Nghị viện Anh bỏ phiếu thông qua dự luật di trú mới, siết chặt điều kiện nhập cư và yêu cầu kỹ năng tối thiểu đối với lao động nước ngoài (cập nhật 63).
Thể thao || Tay vợt Hana Mandlíková được bổ nhiệm làm trưởng ban kỹ thuật Liên đoàn quần vợt Việt Nam để thúc đẩy phát triển thể thao này.
Kinh tế || Ngân hàng BIDV vừa hoàn tất phát hành 5 (cập nhật 120).000 tỷ đồng trái phiếu ra công chúng, thu hút sự quan tâm lớn từ giới đầu tư tổ chức.
Thể thao || Neymar Jr. chính thức gia nhập Al-Hilal trong hợp đồng kỷ lục trị giá 200 triệu Euro, tiếp nối làn sóng ngôi sao đến Saudi Pro League.
Chính trị || Tổng Bí thư dẫn đầu đoàn đại biểu cấp cao Việt Nam thăm chính thức Trung Quốc, nhằm củng cố quan hệ đối tác chiến lược toàn diện giữa hai nước.
Thể thao || VĐV karate Nguyễn Thị Thu Trang giữ vững danh hiệu vô địch châu Á lần thứ 5 liên tiếp, khẳng định thế thống trị ở nội dung kata nữ.
Chính trị || Hội đồng Bảo an Liên Hợp Quốc họp bất thường bàn về khủng hoảng nhân đạo tại Sudan, nơi cuộc nội chiến đã đẩy hàng triệu người vào cảnh màn trời chiếu đất.
Kinh tế || Thị trường crypto Việt Nam sôi động trở lại với lượng nhà đầu tư tăng mạnh, dù khung pháp lý cho tài sản số chưa hoàn chỉnh (cập nhật 93).
Thể thao || Tuyển thủ cờ vua Nguyễn Anh Khôi đăng quang giải vô địch cờ vua trẻ châu Á, cải thiện hệ số Elo lên mức 2 (cập nhật 61).550 điểm.
Kinh tế || Đề xuất tăng lương tối thiểu vùng thêm 6% được Hội đồng tiền lương quốc gia thông qua, có hiệu lực từ đầu năm tới.
Công nghệ || Việt Nam lọt vào top 30 quốc gia có tốc độ phát triển hạ tầng công nghệ thông tin nhanh nhất thế giới theo xếp hạng của ITU (cập nhật 60).
Chính trị || Nghị viện Anh bỏ phiếu thông qua dự luật di trú mới, siết chặt điều kiện nhập cư và yêu cầu kỹ năng tối thiểu đối với lao động nước ngoài.
Kinh tế || Ngân hàng Nhà nước Việt Nam quyết định giữ nguyên lãi suất điều hành nhằm hỗ trợ tăng trưởng kinh tế trong bối cảnh lạm phát được kiểm soát tốt (cập nhật 51).
Chính trị || Nghị viện Châu Âu thông qua luật trí tuệ nhân tạo EU AI Act, lần đầu tiên thiết lập khung pháp lý toàn diện cho AI tại một liên minh lớn (cập nhật 89).
Thể thao || Đội tuyển wushu Việt Nam toàn thắng 6/6 nội dung tại giải vô địch thế giới, dẫn đầu bảng tổng sắp huy chương toàn đoàn (cập nhật 90).
Kinh tế || Doanh thu ngành bán lẻ trực tuyến vượt mốc 20 tỷ USD, với tốc độ tăng trưởng 25% mỗi năm, dẫn đầu khu vực Đông Nam Á (cập nhật 124).
Kinh tế || Các doanh nghiệp vừa và nhỏ kiến nghị Chính phủ giảm thuế thu nhập doanh nghiệp để có thêm nguồn lực tái đầu tư phát triển.
Thể thao || HLV Park Hang-seo được bầu vào Đại sảnh Danh vọng bóng đá Việt Nam vì công lao dẫn dắt đội tuyển đến nhiều thành công lịch sử (cập nhật 95).
Thể thao || CLB Hà Nội FC tiến vào vòng tứ kết AFC Champions League sau khi đánh bại đội chủ nhà Nhật Bản với tỷ số không tưởng 3-1 (cập nhật 53).
Công nghệ || Mô hình AI phát hiện ung thư vú qua ảnh chụp X-quang đạt độ chính xác 96%, đang được triển khai thí điểm tại 10 bệnh viện lớn.
Thể thao || Đội tuyển bóng đá nữ Việt Nam lọt vào vòng tứ kết World Cup sau chiến thắng ngoạn mục trước đội tuyển Hà Lan với tỷ số 1-0.
Thể thao || Giải đua thuyền Đông Nam Á tổ chức tại vịnh Hạ Long thu hút sự tham gia của 12 đội thuyền quốc tế, quảng bá hình ảnh du lịch Việt Nam.
Kinh tế || Các doanh nghiệp vừa và nhỏ kiến nghị Chính phủ giảm thuế thu nhập doanh nghiệp để có thêm nguồn lực tái đầu tư phát triển (cập nhật 67).
Chính trị || Hội nghị thượng đỉnh ASEAN tại Kuala Lumpur ra tuyên bố chung về hợp tác an ninh biển, trong đó nhấn mạnh tầm quan trọng của luật pháp quốc tế.
Kinh tế || Bộ Tài chính đề xuất tăng thuế tiêu thụ đặc biệt đối với đồ uống có đường nhằm bảo vệ sức khỏe cộng đồng và tăng thu ngân sách (cập nhật 111).
Thể thao || VĐV cử tạ Thạch Kim Tuấn tiếp tục thống trị hạng cân 56kg châu Á với lần thứ 7 liên tiếp đoạt ngôi vô địch giải châu Á (cập nhật 98).
Kinh tế || Ngân hàng BIDV vừa hoàn tất phát hành 5 (cập nhật 70).000 tỷ đồng trái phiếu ra công chúng, thu hút sự quan tâm lớn từ giới đầu tư tổ chức.
Chính trị || Hội nghị COP30 tại Belem, Brazil đạt đồng thuận về cắt giảm khí thải, với cam kết mạnh mẽ hơn từ các nền kinh tế mới nổi.
Công nghệ || Công ty VinAI công bố mô hình AI xử lý tiếng Việt đạt độ chính xác 98%, ứng dụng trong chatbot chăm sóc khách hàng và trợ lý ảo (cập nhật 63).
Thể thao || Đội tuyển bóng rổ 3x3 Việt Nam lần đầu tiên vào vòng chung kết giải châu Á, đánh bại Philippines ở tứ kết trong trận đấu kịch tính.
Công nghệ || Ứng dụng thương mại điện tử Tiktok Shop vượt mốc 10 triệu người dùng hoạt động tại Việt Nam chỉ sau 2 năm ra mắt (cập nhật 62).
Công nghệ || Công nghệ CCUS thu giữ và lưu trữ carbon được áp dụng tại các nhà máy điện than, giúp giảm đáng kể lượng khí thải CO2 ra môi trường.
Kinh tế || Quỹ tiền tệ quốc tế IMF nâng dự báo tăng trưởng của Việt Nam lên 6,5% trong năm tới, đánh giá cao chính sách kinh tế ổn định của Chính phủ (cập nhật 64).
Thể thao || Nhà vô địch marathon quốc gia phá kỷ lục đường chạy Hà Nội với thành tích 2 giờ 11 phút, tiến gần hơn đến chuẩn A Olympic (cập nhật 119).
Chính trị || Quốc hội Việt Nam thông qua Luật Đất đai sửa đổi với đa số phiếu tán thành, kỳ vọng giải quyết dứt điểm các vướng mắc trong quản lý đất đai.
Chính trị || Chính phủ Việt Nam phê duyệt chiến lược an ninh quốc gia đến năm 2030, nhấn mạnh nguyên tắc độc lập, tự chủ và quan hệ đối tác rộng mở (cập nhật 79).
Chính trị || Đảng Cộng sản Việt Nam khai mạc Đại hội đại biểu toàn quốc lần thứ XIV, thảo luận về phương hướng phát triển đất nước giai đoạn 2026-2031 (cập nhật 60).
Công nghệ || Ví điện tử VNPay kết nối với hơn 50 ngân hàng và được chấp nhận thanh toán tại hơn 200.000 điểm bán trên toàn quốc.
Kinh tế || Quỹ tiền tệ quốc tế IMF nâng dự báo tăng trưởng của Việt Nam lên 6,5% trong năm tới, đánh giá cao chính sách kinh tế ổn định của Chính phủ.
Công nghệ || Hệ thống nhận diện khuôn mặt AI triển khai tại sân bay Nội Bài giúp thủ tục lên máy bay chỉ mất vài giây, nâng cao trải nghiệm hành khách (cập nhật 117).
Chính trị || Nghị viện Châu Âu thông qua luật trí tuệ nhân tạo EU AI Act, lần đầu tiên thiết lập khung pháp lý toàn diện cho AI tại một liên minh lớn.
Công nghệ || Bộ vi xử lý AI chuyên dụng mới của NVIDIA đạt hiệu năng gấp 10 lần thế hệ trước, mở ra khả năng xử lý các mô hình ngôn ngữ lớn theo thời gian thực (cập nhật 112).
Chính trị || NATO triệu tập cuộc họp khẩn cấp sau khi Nga thông báo rút khỏi hiệp ước kiểm soát vũ khí hạt nhân, đặt ra câu hỏi về an ninh châu Âu (cập nhật 122).
Chính trị || Hàn Quốc và Nhật Bản tuyên bố nối lại đối thoại cấp cao về chia sẻ thông tin tình báo và hợp tác quân sự sau thời gian căng thẳng (cập nhật 112).
Thể thao || Formula 1 Grand Prix Việt Nam chính thức được đưa vào lịch thi đấu mùa giải tới, với đường đua mới đặt tại khu vực ngoại ô Hà Nội (cập nhật 57).
Chính trị || Việt Nam lần thứ hai trúng cử vào Hội đồng Nhân quyền Liên Hợp Quốc nhiệm kỳ 3 năm, khẳng định uy tín và vai trò ngày càng cao của đất nước.
Kinh tế || Các công ty fintech Việt Nam huy động thành công hàng trăm triệu USD từ các quỹ đầu tư quốc tế, cho thấy tiềm năng phát triển mạnh mẽ (cập nhật 79).
Chính trị || Nghị viện châu Âu thông qua nghị quyết kêu gọi tăng cường trừng phạt Nga liên quan đến các vi phạm luật quốc tế ở Ukraine.
Công nghệ || Dự án lưới điện thông minh quốc gia kết hợp IoT và AI giúp tối ưu phân phối điện năng, giảm thất thoát điện năng xuống dưới 5% (cập nhật 100).
Kinh tế || Đồng Euro suy yếu so với USD khiến hàng hóa xuất khẩu của Việt Nam sang thị trường châu Âu trở nên kém cạnh tranh hơn về giá (cập nhật 121).
Chính trị || Bộ Công an Việt Nam triệt phá đường dây tội phạm mạng quốc tế lớn, bắt giữ 20 đối tượng liên quan đến lừa đảo và rửa tiền trực tuyến.
Công nghệ || Robot giao hàng tự động đang được thử nghiệm trên các con phố tại TP (cập nhật 120).HCM, hứa hẹn cách mạng hóa ngành logistics đô thị trong tương lai gần.
Công nghệ || Hệ thống phát hiện tấn công mạng AI của BKAV phát hiện và ngăn chặn hơn 2 triệu cuộc tấn công mỗi tháng vào các cơ sở hạ tầng trọng yếu.
Chính trị || Đảng Lao động đối lập giành đa số ghế trong cuộc bầu cử Quốc hội Úc, chấm dứt nhiệm kỳ 9 năm của liên minh cầm quyền bảo thủ (cập nhật 85).
Công nghệ || Ô nhiễm không khí tại các đô thị được theo dõi thời gian thực qua mạng lưới 1 (cập nhật 123).000 cảm biến IoT, giúp cảnh báo sớm khi chất lượng không khí xuống thấp.
Công nghệ || Hệ thống giao thông thông minh được triển khai tại Hà Nội giúp giảm tắc đường 25% nhờ điều phối tín hiệu đèn giao thông bằng AI (cập nhật 78).
Thể thao || VĐV điền kinh Nguyễn Văn Lai hoàn thành cự ly marathon tại Tokyo Marathon với thành tích 2:08:45, lọt top 10 châu Á.
Thể thao || Câu lạc bộ bóng chuyền Hà Nội lần thứ tư liên tiếp vô địch quốc gia, nhờ sự tỏa sáng của chủ công Kim Huệ dù đã ở độ tuổi 35 (cập nhật 111).
Kinh tế || Chỉ số niềm tin tiêu dùng tăng lên mức cao nhất trong vòng 2 năm, báo hiệu người dân sẵn sàng chi tiêu nhiều hơn trong thời gian tới.
Kinh tế || Thị trường crypto Việt Nam sôi động trở lại với lượng nhà đầu tư tăng mạnh, dù khung pháp lý cho tài sản số chưa hoàn chỉnh.
Chính trị || Israel và Hamas đạt thỏa thuận ngừng bắn tạm thời sau nhiều tháng đàm phán gián tiếp, tạo điều kiện đưa con tin trở về và viện trợ nhân đạo vào Gaza (cập nhật 61).
Kinh tế || Ngân hàng Nhà nước bơm thanh khoản qua nghiệp vụ thị trường mở giúp lãi suất liên ngân hàng hạ nhiệt, ổn định mặt bằng lãi suất huy động (cập nhật 88).
Chính trị || Cuộc gặp gỡ giữa Ngoại trưởng Mỹ và người đồng cấp Trung Quốc tại Geneva mở ra hy vọng giảm leo thang căng thẳng thương mại hai bên (cập nhật 69).
Chính trị || Liên Hợp Quốc cảnh báo về nguy cơ xung đột leo thang tại Biển Đỏ, kêu gọi các bên kiềm chế và trở lại bàn đàm phán (cập nhật 88).
Chính trị || Chính phủ Việt Nam ký kết thỏa thuận hợp tác quốc phòng với Mỹ, mở ra giai đoạn mới trong quan hệ đối tác chiến lược toàn diện.
Chính trị || Hội nghị thượng đỉnh Mỹ-Triều Tiên lần thứ ba được xác nhận tổ chức tại Thụy Điển, với chủ đề trọng tâm là phi hạt nhân hóa bán đảo Triều Tiên (cập nhật 83).
Kinh tế || Chính phủ phê duyệt gói kích thích kinh tế trị giá 350 nghìn tỷ đồng nhằm phục hồi tăng trưởng sau giai đoạn suy giảm do dịch bệnh (cập nhật 105).
Kinh tế || Ngân hàng BIDV vừa hoàn tất phát hành 5.000 tỷ đồng trái phiếu ra công chúng, thu hút sự quan tâm lớn từ giới đầu tư tổ chức.
Thể thao || VĐV Nguyễn Thị Oanh phá kỷ lục quốc gia nội dung 3 (cập nhật 52).000m vượt rào nữ tại giải điền kinh toàn quốc, bước thêm một bước gần đến vé dự Olympic.
Kinh tế || Thị trường trái phiếu doanh nghiệp phục hồi sau thời gian trầm lắng, với nhiều doanh nghiệp phát hành thành công để huy động vốn mở rộng kinh doanh (cập nhật 76).
Kinh tế || Doanh thu ngành bán lẻ trực tuyến vượt mốc 20 tỷ USD, với tốc độ tăng trưởng 25% mỗi năm, dẫn đầu khu vực Đông Nam Á (cập nhật 74).
Kinh tế || Tỷ giá USD/VND dao động nhẹ quanh mức 25 (cập nhật 108).000 đồng sau khi Cục Dự trữ Liên bang Mỹ phát tín hiệu duy trì lãi suất ổn định.
Công nghệ || Hệ thống giao thông thông minh được triển khai tại Hà Nội giúp giảm tắc đường 25% nhờ điều phối tín hiệu đèn giao thông bằng AI.
Chính trị || Cuộc gặp gỡ giữa Ngoại trưởng Mỹ và người đồng cấp Trung Quốc tại Geneva mở ra hy vọng giảm leo thang căng thẳng thương mại hai bên (cập nhật 119).
Kinh tế || Thị trường tiêu dùng nội địa phục hồi tích cực, chỉ số bán lẻ hàng hóa tăng 8% so với cùng kỳ, kéo theo đà tăng của cổ phiếu bán lẻ.
Chính trị || Cuộc gặp gỡ giữa Ngoại trưởng Mỹ và người đồng cấp Trung Quốc tại Geneva mở ra hy vọng giảm leo thang căng thẳng thương mại hai bên.
Kinh tế || Chỉ số niềm tin tiêu dùng tăng lên mức cao nhất trong vòng 2 năm, báo hiệu người dân sẵn sàng chi tiêu nhiều hơn trong thời gian tới (cập nhật 123).
Chính trị || Quốc hội Việt Nam thông qua Luật Đất đai sửa đổi với đa số phiếu tán thành, kỳ vọng giải quyết dứt điểm các vướng mắc trong quản lý đất đai (cập nhật 100).
Công nghệ || Nền tảng thương mại điện tử B2B ra mắt giúp kết nối hàng ngàn nhà sản xuất Việt Nam với nhà mua quốc tế, đơn giản hóa quy trình xuất khẩu (cập nhật 82).
Chính trị || Tòa án Hình sự Quốc tế ICC phát lệnh bắt thêm 3 quan chức quân đội bị cáo buộc tội ác chiến tranh tại một quốc gia châu Phi đang xung đột.
Công nghệ || Apple vừa giới thiệu dòng iPhone thế hệ mới với tính năng AI trợ lý cá nhân được tích hợp sâu vào hệ điều hành, thu hút hàng triệu đơn đặt hàng.
Chính trị || Chính quyền tỉnh Quảng Trị ký biên bản ghi nhớ hợp tác với đối tác Lào về phát triển kinh tế biên giới và thu hút đầu tư hai chiều (cập nhật 121).
Thể thao || Real Madrid vô địch Champions League mùa này sau khi đánh bại Manchester City ở trận chung kết với bàn thắng vàng ở hiệp phụ (cập nhật 55).
Thể thao || SEA Games năm tới sẽ tổ chức tại Philippines với 56 môn thi đấu, trong đó có thêm môn eSport và bơi nghệ thuật lần đầu xuất hiện (cập nhật 115).
Chính trị || Liên Hợp Quốc thông qua nghị quyết mới về cải cách Hội đồng Bảo an, phản ánh mong muốn của nhiều nước đang phát triển có tiếng nói lớn hơn.
Thể thao || Giải đua xe VinFast Racing Series tổ chức thành công mùa đầu tiên, thu hút hơn 20 tay đua từ 8 quốc gia châu Á tham dự (cập nhật 70).
Công nghệ || Chính phủ Việt Nam phê duyệt chiến lược chuyển đổi số quốc gia, đặt mục tiêu kinh tế số đóng góp 30% GDP vào năm 2030 (cập nhật 56).
Công nghệ || Ứng dụng thương mại điện tử Tiktok Shop vượt mốc 10 triệu người dùng hoạt động tại Việt Nam chỉ sau 2 năm ra mắt (cập nhật 113).
Kinh tế || Hàng loạt doanh nghiệp FDI lớn tiếp tục rót vốn vào các khu công nghiệp tại miền Bắc, cho thấy niềm tin của nhà đầu tư nước ngoài vào Việt Nam.
Thể thao || Đội tuyển futsal Việt Nam đứng vào nhóm hạt giống số 2 cho vòng loại World Cup futsal sau thành tích ấn tượng tại AFC Championship.
Kinh tế || Giá nhà ở xã hội tại Hà Nội và TP (cập nhật 90).HCM vẫn vượt khả năng chi trả của đa số người lao động thu nhập trung bình thấp.
Chính trị || Việt Nam lần thứ hai trúng cử vào Hội đồng Nhân quyền Liên Hợp Quốc nhiệm kỳ 3 năm, khẳng định uy tín và vai trò ngày càng cao của đất nước (cập nhật 92).
Thể thao || Đội tuyển bóng đá U23 Việt Nam đánh bại U23 Hàn Quốc trong trận tứ kết ASIAD, tiến thẳng vào bán kết với tinh thần chiến đấu cao (cập nhật 82).
Thể thao || CLB TP (cập nhật 66).HCM ký hợp đồng với tiền đạo Brazil người Mỹ nổi tiếng, kỳ vọng nâng tầm chất lượng V.League và thu hút khán giả tới sân.
Công nghệ || Nền tảng NFT nghệ thuật số Việt Nam đầu tiên ra mắt, cho phép nghệ sĩ bán tác phẩm trực tiếp đến người sưu tập toàn cầu qua blockchain (cập nhật 98).
Chính trị || Đại hội đồng Liên Hợp Quốc bỏ phiếu yêu cầu ngừng bắn tức thời và không điều kiện tại tất cả các điểm xung đột đang diễn ra trên toàn cầu (cập nhật 94).
Thể thao || Tay vợt Hana Mandlíková được bổ nhiệm làm trưởng ban kỹ thuật Liên đoàn quần vợt Việt Nam để thúc đẩy phát triển thể thao này (cập nhật 86).
Công nghệ || Hệ thống phát hiện tấn công mạng AI của BKAV phát hiện và ngăn chặn hơn 2 triệu cuộc tấn công mỗi tháng vào các cơ sở hạ tầng trọng yếu (cập nhật 87).
Thể thao || Giải Moto GP Việt Nam lần đầu tổ chức tại Bình Dương thu hút 100.000 lượt khán giả trong 3 ngày, tạo cơn sốt xe đua toàn quốc.
Công nghệ || Công nghệ in 3D kim loại được ứng dụng trong sản xuất linh kiện hàng không vũ trụ tại các nhà máy Việt Nam, nâng cao giá trị gia tăng trong chuỗi sản xuất (cập nhật 85).
Chính trị || Chính quyền tỉnh Quảng Trị ký biên bản ghi nhớ hợp tác với đối tác Lào về phát triển kinh tế biên giới và thu hút đầu tư hai chiều (cập nhật 71).
Kinh tế || GDP Việt Nam tăng trưởng 6,8% trong năm nay, vượt mục tiêu đề ra và đứng trong top các nền kinh tế tăng trưởng nhanh nhất khu vực (cập nhật 109).
Kinh tế || Thị trường tiêu dùng nội địa phục hồi tích cực, chỉ số bán lẻ hàng hóa tăng 8% so với cùng kỳ, kéo theo đà tăng của cổ phiếu bán lẻ (cập nhật 68).
Công nghệ || Công nghệ điện toán lượng tử đạt bước tiến mới khi nhóm nghiên cứu tại IBM thực hiện thành công thuật toán phức tạp với sai số cực thấp.
Công nghệ || Làng công nghệ cao Hòa Lạc mở rộng thu hút thêm 50 doanh nghiệp mới, trong đó có nhiều startup AI và bán dẫn đến từ Hàn Quốc và Nhật Bản.
Kinh tế || Bộ Kế hoạch và Đầu tư dự kiến giải ngân toàn bộ vốn đầu tư công trong năm nay, đây là lần đầu tiên chỉ tiêu này được hoàn thành đúng hạn (cập nhật 78).
Chính trị || Cuộc bầu cử tổng thống Pháp kết thúc với chiến thắng sít sao của ứng viên trung dung trước đối thủ cực hữu trong vòng bỏ phiếu quyết định (cập nhật 75).
Thể thao || CLB TP.HCM ký hợp đồng với tiền đạo Brazil người Mỹ nổi tiếng, kỳ vọng nâng tầm chất lượng V.League và thu hút khán giả tới sân.
Kinh tế || Chính phủ phê duyệt gói kích thích kinh tế trị giá 350 nghìn tỷ đồng nhằm phục hồi tăng trưởng sau giai đoạn suy giảm do dịch bệnh (cập nhật 55).
Công nghệ || Meta giới thiệu kính thực tế tăng cường thế hệ mới, được đánh giá là bước đột phá trong hành trình xây dựng nền tảng metaverse toàn diện (cập nhật 59).
Công nghệ || Mạng Internet vệ tinh LEO phủ sóng toàn bộ vùng nông thôn và miền núi Việt Nam, xóa bỏ khoảng cách số giữa thành thị và nông thôn.
Chính trị || Hội nghị Bộ trưởng Ngoại giao ASEAN họp khẩn về tình hình căng thẳng trên Biển Đông sau loạt sự kiện va chạm tàu mới đây.
Công nghệ || Dịch vụ y tế từ xa kết hợp AI chẩn đoán phục vụ 5 triệu lượt khám trực tuyến mỗi tháng, giảm tải đáng kể cho các bệnh viện tuyến trên.
Kinh tế || Các tổ chức xếp hạng tín nhiệm quốc tế tiếp tục duy trì mức đánh giá tích cực cho trái phiếu chính phủ Việt Nam, tạo điều kiện vay vốn quốc tế thuận lợi (cập nhật 98).
Chính trị || Thủ tướng Phạm Minh Chính dự Hội nghị G20 tại Brazil, trực tiếp kêu gọi các nền kinh tế lớn hỗ trợ các nước đang phát triển ứng phó biến đổi khí hậu.
Công nghệ || Tập đoàn Samsung tiếp tục mở rộng nhà máy sản xuất chip tại Việt Nam, biến nước ta thành một trong những cơ sở sản xuất điện tử lớn nhất thế giới (cập nhật 102).
Chính trị || Nghị viện Anh bỏ phiếu thông qua dự luật di trú mới, siết chặt điều kiện nhập cư và yêu cầu kỹ năng tối thiểu đối với lao động nước ngoài (cập nhật 113).
Thể thao || Federer chính thức được vinh danh vào Đại sảnh Danh vọng quần vợt thế giới sau sự nghiệp vĩ đại với 20 danh hiệu Grand Slam (cập nhật 71).
Công nghệ || Ứng dụng thương mại điện tử Tiktok Shop vượt mốc 10 triệu người dùng hoạt động tại Việt Nam chỉ sau 2 năm ra mắt.
Kinh tế || Kim ngạch nhập khẩu máy móc thiết bị tăng mạnh, phản ánh xu hướng đầu tư mở rộng sản xuất của các doanh nghiệp trong nước.
Chính trị || Tổng thống Biden và Chủ tịch Tập Cận Bình hội đàm bên lề Hội nghị G20, đồng ý thiết lập đường dây liên lạc quân sự để tránh xung đột không mong muốn (cập nhật 115).
Kinh tế || Giá xăng dầu trong nước điều chỉnh giảm lần thứ ba liên tiếp, mang lại tín hiệu tích cực cho chi phí sản xuất và vận tải.
Công nghệ || Bộ vi xử lý AI mới của FPT Semiconductor được thiết kế hoàn toàn bởi kỹ sư Việt Nam, đánh dấu bước tiến quan trọng trong ngành bán dẫn nội địa.
Thể thao || Trọng tài Trần Minh Phương được FIFA bổ nhiệm điều hành trận đấu tại World Cup, trở thành trọng tài người Việt đầu tiên đặt chân đến giải này (cập nhật 76).
Kinh tế || Thuế xuất khẩu mới áp dụng lên phân bón hóa học gây tranh cãi khi một bên cho rằng bảo vệ thị trường nội địa, bên kia lo ngại tăng chi phí sản xuất nông nghiệp (cập nhật 96).
Kinh tế || Bộ Kế hoạch và Đầu tư dự kiến giải ngân toàn bộ vốn đầu tư công trong năm nay, đây là lần đầu tiên chỉ tiêu này được hoàn thành đúng hạn.
Công nghệ || Chính sách bảo vệ dữ liệu cá nhân mới được ban hành, yêu cầu các doanh nghiệp công nghệ phải xin phép người dùng trước khi thu thập dữ liệu (cập nhật 116).
Kinh tế || Thị trường trái phiếu doanh nghiệp phục hồi sau thời gian trầm lắng, với nhiều doanh nghiệp phát hành thành công để huy động vốn mở rộng kinh doanh.
Thể thao || Giải đua xe VinFast Racing Series tổ chức thành công mùa đầu tiên, thu hút hơn 20 tay đua từ 8 quốc gia châu Á tham dự (cập nhật 121).
Công nghệ || Công ty VinAI công bố mô hình AI xử lý tiếng Việt đạt độ chính xác 98%, ứng dụng trong chatbot chăm sóc khách hàng và trợ lý ảo (cập nhật 114).
Chính trị || Tòa án Hình sự Quốc tế ICC phát lệnh bắt thêm 3 quan chức quân đội bị cáo buộc tội ác chiến tranh tại một quốc gia châu Phi đang xung đột (cập nhật 78).
Chính trị || HĐND TP Hà Nội thông qua kế hoạch phát triển đô thị đến năm 2045, bao gồm việc xây dựng 5 đô thị vệ tinh và hệ thống metro hiện đại.
Thể thao || Tuyển thủ đội bóng đá nữ TP (cập nhật 79).HCM ký hợp đồng thi đấu tại giải vô địch Tây Ban Nha, bước tiến lịch sử cho bóng đá nữ Việt Nam.
Chính trị || Tổng Bí thư dẫn đầu đoàn đại biểu cấp cao Việt Nam thăm chính thức Trung Quốc, nhằm củng cố quan hệ đối tác chiến lược toàn diện giữa hai nước (cập nhật 102).
Chính trị || Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam họp Hội nghị lần thứ 9, thảo luận về công tác nhân sự và phát triển đảng viên mới.
Kinh tế || Tổng mức bán lẻ hàng hóa và dịch vụ tháng này đạt 520 nghìn tỷ đồng, phản ánh sức mua của thị trường nội địa đang dần phục hồi.
Thể thao || Giải vô địch cầu lông quốc tế Việt Nam Open thu hút tổng cộng 256 VĐV từ 40 quốc gia, trong đó có cả vô địch thế giới người Đan Mạch.
Công nghệ || Nghiên cứu năng lượng mặt trời thế hệ mới với hiệu suất chuyển đổi 40% đang được thương mại hóa, giảm đáng kể chi phí điện tái tạo (cập nhật 74).
Thể thao || VĐV gym thể hình Phạm Văn Mách giành hai huy chương vàng tại giải vô địch thế hình Đông Nam Á, duy trì vị thế số 1 khu vực (cập nhật 84).
Kinh tế || Tập đoàn Vingroup công bố kế hoạch đầu tư 2 tỷ USD vào lĩnh vực sản xuất xe điện trong 3 năm tới, tạo hàng ngàn việc làm mới (cập nhật 54).
Kinh tế || Xuất khẩu hàng hóa của Việt Nam đạt 35 tỷ USD trong quý đầu năm, tăng 12% so với cùng kỳ năm ngoái, chủ yếu nhờ đóng góp từ nhóm điện tử (cập nhật 52).
Kinh tế || Chứng khoán phái sinh thu hút ngày càng nhiều nhà đầu tư trẻ tuổi nhờ đòn bẩy tài chính cao và khả năng kiếm lời cả khi thị trường giảm (cập nhật 82).
Chính trị || Bộ Ngoại giao Mỹ công bố báo cáo nhân quyền thường niên, trong đó đề cập đến tình hình nhiều quốc gia châu Á, châu Phi và Mỹ Latinh (cập nhật 97).
Thể thao || Liverpool vô địch Premier League với 5 điểm hơn Manchester City, phá vỡ sự thống trị của đội bóng xanh lam trong 4 mùa gần đây.
Chính trị || Đại hội đồng Liên Hợp Quốc thông qua Hiệp ước về quản lý trí tuệ nhân tạo toàn cầu, đặt nền tảng pháp lý cho phát triển AI có trách nhiệm.
Thể thao || Võ sĩ kickboxing Nguyễn Trần Duy Nhất bảo vệ thành công đai vô địch thế giới ONE Championship lần thứ ba liên tiếp.
Thể thao || Đội tuyển bóng đá Việt Nam giành chiến thắng 2-0 trước Thái Lan trong trận chung kết AFF Cup, lên ngôi vô địch lần thứ ba trong lịch sử (cập nhật 51).
Thể thao || Real Madrid vô địch Champions League mùa này sau khi đánh bại Manchester City ở trận chung kết với bàn thắng vàng ở hiệp phụ (cập nhật 106).
Công nghệ || Dự án thành phố thông minh tại Đà Nẵng ứng dụng hơn 200 camera AI để giám sát trật tự đô thị và hỗ trợ cảnh sát xử lý vi phạm giao thông (cập nhật 96).
Công nghệ || Chính phủ Việt Nam phê duyệt chiến lược chuyển đổi số quốc gia, đặt mục tiêu kinh tế số đóng góp 30% GDP vào năm 2030 (cập nhật 107).
Thể thao || Nhà vô địch marathon quốc gia phá kỷ lục đường chạy Hà Nội với thành tích 2 giờ 11 phút, tiến gần hơn đến chuẩn A Olympic (cập nhật 68).
Chính trị || Đại hội đồng Liên Hợp Quốc thông qua Hiệp ước về quản lý trí tuệ nhân tạo toàn cầu, đặt nền tảng pháp lý cho phát triển AI có trách nhiệm (cập nhật 117).
Chính trị || Nghị viện châu Âu thông qua nghị quyết kêu gọi tăng cường trừng phạt Nga liên quan đến các vi phạm luật quốc tế ở Ukraine (cập nhật 54).
Thể thao || Real Madrid vô địch Champions League mùa này sau khi đánh bại Manchester City ở trận chung kết với bàn thắng vàng ở hiệp phụ.
Kinh tế || Thâm hụt ngân sách được kiểm soát trong ngưỡng 3,7% GDP, phản ánh kỷ luật tài khóa trong điều hành ngân sách nhà nước năm nay (cập nhật 97).
